scheme,operation,input_size,cache_policy,mean_ms,ci95_halfwidth_ms,median_batch_ms,process_sd_ms,samples,processes
lrdas,certify_recover_first_serve,768,verified_header,56.1685274,0.09688264304359982,56.169154500000005,0.039000512162406,30,3
lrdas,collector_batch_mixed,82,verified_header,3521.3672716666665,5.451117043817581,3522.325138,2.1943699086577566,3,3
lrdas,collector_batch_source,82,verified_header,3441.6981516666665,7.4705246591984755,3442.534905,3.0072908694233984,3,3
lrdas,collector_streaming,82,verified_header,103339.31553766667,309.56927990025963,103348.576003,124.61840518145242,3,3
lrdas,coset_scaling_all,123,public_powers,1.2365374238095237,0.19401027711704047,1.276808357142857,0.07809964648600436,30,3
lrdas,derive_all_parity,41,none,80.04644246666666,0.2186268217537459,80.022676,0.08800913923248309,30,3
lrdas,derive_parity,82,none,1.9275090466666667,0.004197998200622443,1.9265654,0.0016899216901778145,30,3
lrdas,derive_source,82,none,4.112543333333333e-06,3.702200819700646e-07,3.9229e-06,1.4903363859657102e-07,30,3
lrdas,encode_commit_total,125952,public_parameters,925.3645563333333,1.5557075208580695,925.4005414999999,0.6262565531069063,30,3
lrdas,full_group_open,768,local_coefficients,13.307936466666668,0.07889782051784845,13.300748500000001,0.031760646819976986,30,3
lrdas,full_group_verify,768,parsed,46.4369025,0.08220125841461404,46.4423915,0.033090459527631746,30,3
lrdas,group_certify,768,verified_header,43.9344157,0.328439936250045,43.8586255,0.1322148666255439,30,3
lrdas,group_certify_random,768,verified_header,44.007208766666665,0.4857596380126867,43.955184,0.1955445689254577,30,3
lrdas,group_recover_evaluate,1024,certified_coefficients,0.104841826584038,0.0014695760277244397,0.10492307314954247,0.0005915839611957567,30,3
lrdas,header_commit,82,public_srs,868.9464933333334,3.138144215296312,868.6355189999999,1.2632730465556081,30,3
lrdas,header_parse_verify,82,cold,3.6752148,0.016841211750685384,3.67536225,0.006779500053654349,30,3
lrdas,inner_evaluate_all,123,public_powers,15.836024966666667,0.6973748265919999,15.9531955,0.2807311459702564,30,3
lrdas,inner_fft,1024,none,0.09740723957574582,0.0020040249476724558,0.09745318476994758,0.0008067286037014024,30,3
lrdas,light_client,218,cold,414.6087735,11.24925700231125,412.9546555,4.528435339436722,30,3
lrdas,light_client,218,warm,344.97983733333336,1.344571287062012,345.162318,0.5412627813083601,30,3
lrdas,local_interpolate,768,none,31.1793736,0.19066961983194344,31.1928615,0.07675485095829333,30,3
lrdas,message_prepare,62976,none,0.07229222709080856,0.007202311505447162,0.07191618782474021,0.0028993205453655803,30,3
lrdas,open,1,local_coefficients,10.587591866666667,0.03013601959782029,10.585511,0.012131380419941369,30,3
lrdas,open,2,local_coefficients,10.6170004,0.06512708520806801,10.6185835,0.02621717986797949,30,3
lrdas,open,8,local_coefficients,10.706802866666667,0.0394702039179322,10.714077,0.015888895261261676,30,3
lrdas,open,32,local_coefficients,11.065799533333333,0.010320730930219601,11.0668355,0.004154653295201775,30,3
lrdas,open,128,local_coefficients,13.005230866666667,0.013560667385472661,13.006657,0.005458903232640563,30,3
lrdas,outer_combine,123,public_weights,39.83722593333333,0.03743633157280245,39.790721500000004,0.015070151463187166,30,3
lrdas,serve_new_point,1,certified_coefficients,10.588288333333333,0.03444376791781605,10.587833,0.013865482478562667,30,3
lrdas,verify,1,parsed,1.5282383944444444,0.005260351835607545,1.5288644166666665,0.002117576578199057,30,3
lrdas,verify,2,parsed,1.77605546,0.02380587185039564,1.7722758,0.009583153034132336,30,3
lrdas,verify,8,parsed,2.621687288888889,0.01796753989682961,2.6203795000000003,0.007232908148051502,30,3
lrdas,verify,32,parsed,5.780705866666667,0.01273867781846683,5.779752,0.005128007903010108,30,3
lrdas,verify,128,parsed,13.636882233333333,0.06477117747613963,13.6332495,0.026073907725604917,30,3
primitive,g1_deserialize_checked,1,none,0.03957455398524789,0.00021959380006209513,0.03953979446640317,8.839840038485055e-05,30,3
primitive,g1_msm,1,none,0.13404954869406394,0.003155825637879817,0.13369450684931505,0.0012703907769854674,30,3
primitive,g1_msm,16,none,0.5989863458333333,0.0068815789761621435,0.5981964375,0.002770208327569971,30,3
primitive,g1_msm,64,none,1.6643298166666667,0.00545901592494587,1.6635884166666666,0.0021975496362109637,30,3
primitive,g1_msm,82,none,1.9294954133333333,0.014729032479435897,1.9301264,0.005929233475765098,30,3
primitive,g1_msm,128,none,2.5967224333333334,0.006269449592827057,2.5963036666666666,0.0025237930904362924,30,3
primitive,g1_msm,256,none,4.4807896,0.011734246227460944,4.47818675,0.004723669775449934,30,3
primitive,g1_msm,512,none,7.8054373,0.022706256697482448,7.8007345,0.009140498366609929,30,3
primitive,g1_msm,767,none,10.5776918,0.022509531817989866,10.5772265,0.009061305945612025,30,3
primitive,g1_msm,768,none,10.582037133333333,0.006691367594105,10.574418,0.002693637942139742,30,3
primitive,g1_msm,1024,none,13.337203,0.031276756298353164,13.335846499999999,0.012590588738021768,30,3
primitive,g1_to_affine,1,none,0.0031591020060098493,0.0001882560562803107,0.0031202161907750237,7.578326088092692e-05,30,3
primitive,g2_msm,2,none,0.5601949920479302,0.049953917384696594,0.5609705294117646,0.0201091578565309,30,3
primitive,g2_msm,3,none,0.696146286031746,0.06865800086642315,0.7105312857142857,0.027638564697624747,30,3
primitive,g2_msm,9,none,1.2989870428571428,0.03572942741327698,1.3009479285714285,0.014383030072375439,30,3
primitive,g2_msm,33,none,3.764196233333333,0.007300023211710938,3.7622545,0.0029386548003862128,30,3
primitive,g2_msm,129,none,9.056559366666667,0.03279974653083604,9.0539175,0.01320367481019306,30,3
primitive,g2_msm,769,none,32.774393333333336,0.16910268329485642,32.756275,0.0680729906756215,30,3
primitive,g2_prepare,1,none,0.06500963744588745,0.0001820738822391837,0.0650002857142857,7.329460092795084e-05,30,3
