clients,reconstructions,lrdas_ms,product_ms,product_minus_lr_ms,difference_ci95_halfwidth_ms,product_over_lr,ratio_ci95_halfwidth,measurement_kind
1,0,1335.0380939,2568.6560776,1233.6179837,5.298525690926201,1.9240317627076966,0.003205390351254926,model_from_measured_components
4,0,2577.9272616,7518.5072654,4940.5800038,28.075964805703894,2.9165112026941467,0.024126816335703172,model_from_measured_components
5,0,2992.2236508333335,9168.457661333334,6176.234010499999,35.67789199586335,3.064119924023233,0.028556394639745138,model_from_measured_components
10,0,5063.705597,17418.209641,12354.504044000001,73.69260907851697,3.4398639361160614,0.04136909468291291,model_from_measured_components
100,0,42350.380628,165913.745275,123563.36464700001,758.011154485928,3.917741370508589,0.06085525599620825,model_from_measured_components
1000,0,415217.130938,1650869.101615,1235651.970677,7601.222843606975,3.9760215206211393,0.06347631967996026,model_from_measured_components
1,0.01,1406.9057584333334,2582.8810626966665,1175.9753042633333,5.397873734107024,1.8358590794619358,0.003230298909451725,model_from_measured_components
4,0.01,2649.7949261333333,7532.732250496667,4882.937324363334,28.184530026623325,2.8427773371880645,0.023084915637949833,model_from_measured_components
5,0.01,3064.091315366667,9182.68264643,6118.591331063333,35.7868923753511,2.9968932290436765,0.027455830962802776,model_from_measured_components
10,0.01,5135.573261533333,17432.434626096667,12296.861364563336,73.80243288161913,3.3944949781519953,0.04036452312730883,model_from_measured_components
100,0.01,42422.24829253333,165927.97026009666,123505.72196756334,758.1216701773819,3.911439350918507,0.06066864493710652,model_from_measured_components
1000,0.01,415288.9986025333,1650883.3266000967,1235594.3279975634,7601.333426093644,3.9753676740523107,0.06345635673426805,model_from_measured_components
1,0.1,2053.7147392333336,2710.9059285666667,657.1911893333332,6.368819163757258,1.3200012000916723,0.0030872175276278704,model_from_measured_components
4,0.1,3296.6039069333333,7660.757116366666,4364.153209433333,29.175331185765998,2.32384317571788,0.016394908336264,model_from_measured_components
5,0.1,3710.9002961666665,9310.7075123,5599.807216133333,36.77865798201709,2.50903053103668,0.020114039111665594,model_from_measured_components
10,0.1,5782.382242333333,17560.459491966667,11778.077249633336,74.79603008714344,3.036924906488959,0.03288051758990933,model_from_measured_components
100,0.1,43069.05727333333,166055.99512596667,122986.93785263333,759.1168130259277,3.8556676682293576,0.059029730994807066,model_from_measured_components
1000,0.1,415935.80758333334,1651011.3514659668,1235075.5438826336,7602.328718475863,3.9694932233937186,0.06327714230265938,model_from_measured_components
1,1,8521.804547233334,3991.1545872666666,-4530.649959966667,18.412798736150627,0.4683463481002889,0.0014552263517586077,model_from_measured_components
4,1,9764.693714933333,8941.005775066667,-823.6879398666666,40.04676332014404,0.9156475366007718,0.0038517422834037952,model_from_measured_components
5,1,10178.990104166667,10590.956171,411.9660668333333,47.503378685447224,1.0404739797377753,0.00480616140811593,model_from_measured_components
10,1,12250.472050333334,18840.70815066667,6590.236100333334,85.17709448639512,1.5379634769394286,0.009851711679437743,model_from_measured_components
100,1,49537.147081333336,167336.24378466667,117799.09670333334,769.1171869181595,3.3780585175128985,0.045918332530190405,model_from_measured_components
1000,1,422403.8973913333,1652291.6001246667,1229887.7027333335,7612.286585252298,3.911738265354353,0.061528756688877174,model_from_measured_components
1,10,73202.70262723333,16793.641174266668,-56409.06145296667,147.46469895986667,0.22941292747124392,0.0006888183010843774,model_from_measured_components
4,10,74445.59179493334,21743.492362066667,-52702.09943286667,165.9858113306006,0.2920723936400656,0.0008717230155507368,model_from_measured_components
5,10,74859.88818416667,23393.442758,-51466.44542616667,172.38821684423138,0.31249651781059207,0.0009398603815407096,model_from_measured_components
10,10,76931.37013033334,31643.19473766667,-45288.175392666664,205.63113527154894,0.4113174788766765,0.0013212081700272602,model_from_measured_components
100,10,114218.04516133333,180138.73037166666,65920.68521033334,873.3799141495283,1.5771555189251067,0.01131829823207657,model_from_measured_components
1000,10,487084.7954713333,1665094.0867116668,1178009.2912403333,7712.352448626243,3.4185566282745397,0.04760177285769523,model_from_measured_components
